IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad,Maniobra,Magnitud
5,302,894.452,4.58055,59.0655,59.0655,1,1,54.6632
5,303,894.452,4.58055,68.0535,68.0535,0.990002,1,63.6102
5,304,894.452,4.58055,76.2104,76.2104,0.990922,1,71.7301
5,305,894.452,4.58055,74.3184,74.3184,1,1,69.8466
5,306,894.452,4.58055,76.1631,76.1631,0.99794,1,71.6829
5,307,894.452,4.58055,80.6547,80.6547,0.994991,1,76.1541
5,308,894.452,4.58055,77.8498,77.8498,1,1,73.362
5,309,894.452,4.58055,81.7889,81.7889,0.995606,1,77.2832
5,310,894.452,4.58055,72.2847,72.2847,1,1,67.8222
5,311,894.452,4.58055,71.5671,71.5671,1,1,67.1079
5,312,894.452,4.58055,70.8365,70.8365,1,1,66.3806
5,313,894.452,4.58055,70.9157,70.9157,0.999911,1,66.4595
5,314,894.452,4.58055,61.4026,61.4026,1,1,56.9897
5,315,894.452,4.58055,63.8268,63.8268,0.997293,1,59.4029
5,316,894.452,4.58055,57.854,57.854,1,1,53.4572
5,317,894.452,4.58055,61.3726,61.3726,0.996074,1,56.9598
5,318,894.452,4.58055,60.0967,60.0967,1,1,55.6897
5,319,894.452,4.58055,62.6241,62.6241,0.997178,1,58.2056
5,320,894.452,4.58055,66.9282,66.9282,0.9952,1,62.4901
5,321,894.452,4.58055,64.0379,64.0379,1,1,59.6129
5,322,894.452,4.58055,57.8455,57.8455,1,1,53.4487
5,323,894.452,4.58055,51.8837,51.8837,1,1,47.514
5,324,894.452,4.58055,46.4646,46.4646,1,1,42.1196
5,325,894.452,4.58055,49.3713,49.3713,0.996756,1,45.0131
5,326,894.452,4.58055,56.1324,49.3713,0.99247,1,51.7435
5,327,894.452,4.58055,50.0943,50.0943,0.999192,1,45.7329
5,328,894.452,4.58055,57.7069,57.7069,0.991525,1,53.3108
5,329,894.452,4.58055,48.3679,48.3679,1,1,44.0143
5,330,894.452,4.58055,47.2762,47.2762,1,1,42.9276
5,331,894.452,4.58055,50.2373,50.2373,0.996695,1,45.8751
5,332,894.452,4.58055,55.4397,55.4397,0.994201,1,51.0538
5,333,894.452,4.58055,51.2921,51.2921,1,1,46.9252
5,334,894.452,4.58055,53.7689,53.7689,0.997235,1,49.3907
5,335,894.452,4.58055,44.0534,44.0534,1,1,39.7194
5,336,894.452,4.58055,34.8129,34.8129,1,1,30.521
5,337,894.452,4.58055,36.1067,36.1067,0.998555,1,31.8089
5,338,894.452,4.58055,45.3966,45.3966,0.989668,1,41.0565
5,339,894.452,4.58055,45.213,45.213,1,1,40.8737
5,340,894.452,4.58055,35.5138,35.5138,1,1,31.2187
5,341,894.452,4.58055,36.943,36.943,0.998403,1,32.6414
