IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
671,6303.0000,628.5457,654.0300,8.0000,6495.8945,112.7058,-0.0000,8.0000,0,0,-1,0.0000,6495.8945,112.7058,-0.0000,8.0000,26
672,6309.0000,0.0000,371.8954,9.1015,6533.7900,1000.0001,587.6361,9.1015,0,0,-1,0.0000,6533.7900,1000.0001,587.6361,9.1015,27
673,6318.0000,1000.0000,248.9032,12.8285,6554.3940,203.3297,1000.0001,12.8285,0,0,-1,0.0000,6554.3940,203.3297,1000.0001,12.8285,28
674,6327.0000,648.9078,764.5901,8.0000,6587.3906,466.9274,-0.0000,8.0000,0,0,-1,0.0000,6587.3906,466.9274,-0.0000,8.0000,27
675,6337.0000,99.4247,142.6700,8.0000,6574.9561,1000.0000,887.9601,8.0000,0,0,-1,0.0000,6574.9561,1000.0000,887.9601,8.0000,27
676,6345.0000,349.8223,865.1585,8.0000,6632.0410,644.0854,-0.0000,8.0000,0,0,-1,0.0000,6632.0410,644.0854,-0.0000,8.0000,28
677,6356.0000,87.3434,108.3883,15.0000,6674.4517,1000.0001,705.7733,15.0000,0,0,-1,0.0000,6674.4517,1000.0001,705.7733,15.0000,28
678,6370.0000,627.9256,796.0457,15.0000,6576.6270,396.9650,-0.0000,15.0000,0,0,-1,0.0000,6576.6270,396.9650,-0.0000,15.0000,28
679,6379.0000,285.4120,0.0000,11.1233,6583.0010,439.5549,999.9999,11.1233,0,0,-1,0.0000,6583.0010,439.5549,999.9999,11.1233,29
680,6388.0000,1000.0000,478.3273,14.0829,6635.6396,-0.0000,162.6984,14.0829,0,0,-1,0.0000,6635.6396,-0.0000,162.6984,14.0829,29
681,6394.0000,675.9121,192.9158,8.0000,6646.0293,283.7399,1000.0000,8.0000,0,0,-1,0.0000,6646.0293,283.7399,1000.0000,8.0000,29
682,6402.0000,310.0536,0.0000,12.5103,6673.5186,818.3777,999.9999,12.5103,0,0,-1,0.0000,6673.5186,818.3777,999.9999,12.5103,30
683,6409.0000,985.0532,833.1019,15.0000,6674.9048,301.1140,-0.0000,15.0000,0,0,-1,0.0000,6674.9048,301.1140,-0.0000,15.0000,31
684,6420.0000,647.5663,598.3882,15.0000,6605.8447,135.2598,-0.0000,15.0000,0,0,-1,0.0000,6605.8447,135.2598,-0.0000,15.0000,31
685,6429.0000,0.0000,662.6749,8.5288,6738.4912,1000.0000,661.3688,8.5288,0,0,-1,0.0000,6738.4912,1000.0000,661.3688,8.5288,31
686,6442.0000,0.0000,451.3373,10.8995,6669.6626,1000.0000,234.7207,10.8995,0,0,-1,0.0000,6669.6626,1000.0000,234.7207,10.8995,30
687,6456.0000,465.2176,854.7699,8.0000,6651.5923,667.1954,-0.0000,8.0000,0,0,-1,0.0000,6651.5923,667.1954,-0.0000,8.0000,29
688,6462.0000,770.7660,180.2724,15.0000,6664.4053,447.8893,1000.0001,15.0000,0,0,-1,0.0000,6664.4053,447.8893,1000.0001,15.0000,29
689,6470.0000,797.3356,215.0806,15.0000,6706.8345,-0.0000,820.5111,15.0000,0,0,-1,0.0000,6706.8345,-0.0000,820.5111,15.0000,28
690,6480.0000,601.5807,0.0000,9.6086,6818.3330,22.6118,1000.0000,9.6086,0,0,-1,0.0000,6818.3330,22.6118,1000.0000,9.6086,29
691,6492.0000,1000.0000,542.7161,13.1301,6823.2275,-0.0000,278.5943,13.1301,0,0,-1,0.0000,6823.2275,-0.0000,278.5943,13.1301,27
692,6506.0000,522.3823,1000.0000,11.1931,6790.5557,272.1952,-0.0000,11.1931,0,0,-1,0.0000,6790.5557,272.1952,-0.0000,11.1931,27
693,6511.0000,1000.0000,21.0745,8.8727,6852.5156,-0.0000,970.5638,8.8727,0,0,-1,0.0000,6852.5156,-0.0000,970.5638,8.8727,28
694,6522.0000,569.3452,0.0000,11.4768,6773.0815,704.3793,1000.0001,11.4768,0,0,-1,0.0000,6773.0815,704.3793,1000.0001,11.4768,27
695,6533.0000,0.0000,66.1004,14.8671,6772.7476,1000.0000,526.8667,14.8671,0,0,-1,0.0000,6772.7476,1000.0000,526.8667,14.8671,25
696,6547.0000,75.4243,0.0000,14.2507,6798.4297,607.9757,999.9999,14.2507,0,0,-1,0.0000,6798.4297,607.9757,999.9999,14.2507,24
697,6553.0000,519.3712,0.0000,12.5664,6878.4478,143.0248,999.9999,12.5664,0,0,-1,0.0000,6878.4478,143.0248,999.9999,12.5664,25
698,6561.0000,0.0000,864.1252,9.0658,6785.0884,1000.0000,545.6396,9.0658,0,0,-1,0.0000,6785.0884,1000.0000,545.6396,9.0658,25
699,6571.0000,0.0000,719.5256,13.1814,6776.5308,999.9999,562.3204,13.1814,0,0,-1,0.0000,6776.5308,999.9999,562.3204,13.1814,26
700,6582.0000,747.4037,1000.0000,13.5931,6899.6587,351.8067,-0.0000,13.5931,0,0,-1,0.0000,6899.6587,351.8067,-0.0000,13.5931,25
701,6590.0000,1000.0000,868.3738,12.8645,6896.2192,105.7127,-0.0000,12.8645,0,0,-1,0.0000,6896.2192,105.7127,-0.0000,12.8645,24
702,6602.0000,126.8927,0.0000,13.7641,6886.8213,1000.0000,583.1591,13.7641,0,0,-1,0.0000,6886.8213,1000.0000,583.1591,13.7641,24
703,6616.0000,989.4081,1000.0000,10.2001,6914.0254,367.1955,-0.0000,10.2001,0,0,-1,0.0000,6914.0254,367.1955,-0.0000,10.2001,24
704,6629.0000,353.7006,171.1277,15.0000,6870.3276,620.4433,1000.0000,15.0000,0,0,-1,0.0000,6870.3276,620.4433,1000.0000,15.0000,25
705,6642.0000,485.7558,543.6149,8.0000,6816.0361,729.8719,-0.0000,8.0000,0,0,-1,0.0000,6816.0361,729.8719,-0.0000,8.0000,24
706,6655.0000,386.9129,906.5549,8.0000,6908.0649,456.3692,-0.0000,8.0000,0,0,-1,0.0000,6908.0649,456.3692,-0.0000,8.0000,23
707,6665.0000,737.7815,1000.0000,14.9564,6967.4072,40.7500,-0.0000,14.9564,0,0,-1,0.0000,6967.4072,40.7500,-0.0000,14.9564,23
708,6679.0000,341.9017,862.9443,8.0000,6965.9937,696.7213,-0.0000,8.0000,0,0,-1,0.0000,6965.9937,696.7213,-0.0000,8.0000,20
709,6685.0000,0.0000,146.0625,14.2661,6905.1816,999.9999,436.8174,14.2661,0,0,-1,0.0000,6905.1816,999.9999,436.8174,14.2661,21
710,6698.0000,596.2183,0.0000,14.6332,6942.1328,348.3961,1000.0000,14.6332,0,0,-1,0.0000,6942.1328,348.3961,1000.0000,14.6332,22
711,6704.0000,0.0000,238.8509,8.2234,6958.7417,1000.0000,741.5229,8.2234,0,0,-1,0.0000,6958.7417,1000.0000,741.5229,8.2234,23
712,6714.0000,1000.0000,536.2018,12.9821,6972.3896,-0.0000,474.1073,12.9821,0,0,-1,0.0000,6972.3896,-0.0000,474.1073,12.9821,23
713,6723.0000,0.0000,593.8143,9.0813,6942.4556,1000.0001,749.6903,9.0813,0,0,-1,0.0000,6942.4556,1000.0001,749.6903,9.0813,24
714,6735.0000,1000.0000,391.7835,9.9452,6957.8867,-0.0000,404.7699,9.9452,0,0,-1,0.0000,6957.8867,-0.0000,404.7699,9.9452,25
715,6748.0000,840.9624,0.0000,9.2550,7138.9805,-0.0000,952.2309,9.2550,0,0,-1,0.0000,7138.9805,-0.0000,952.2309,9.2550,25
716,6762.0000,1000.0000,614.9366,14.5721,7044.8481,-0.0000,268.7306,14.5721,0,0,-1,0.0000,7044.8481,-0.0000,268.7306,14.5721,26
717,6774.0000,1000.0000,214.3853,13.9364,7061.3740,53.2670,1000.0000,13.9364,0,0,-1,0.0000,7061.3740,53.2670,1000.0000,13.9364,25
